;;;;;Outcome;Governance;;;Macroeconomic;;;Fiscal;;;;;;;;;;;Demograpy and Access;;;;;Geography and Location;;;;;
IDP;ID;Year;T;Nama;Corrupt;FinAudit;PolComm;YTElection;Resource;Industry;GDPCap;NRRev;GAF;SAF;GSExp;CapExp;GrantExp;SocAssExp;AdminFunc;InfraFunc;EduFunc;HealthFunc;Density;YearsSch;Povrate;Literacy;ElecAcces;Temperature;Rainfall;Elevation;Area;DistCapital;DistJKT
1100;1104;2015;6;Kab. Aceh Tenggara;0;4;0,71;2;44,33;7,02;77,48;4,40;87,70;7,90;21,46;22,30;1,83;0,05;46,18;26,11;34,87;14,05;9,02;9,32;14,91;98,65;97,01;20;4300;1151,87;4231;358;1465
1100;1104;2016;7;Kab. Aceh Tenggara;0;3;0,71;1;43,96;7,38;79,01;1,69;62,28;36,03;16,20;27,52;0,00;0,00;0,82;2,46;0,16;0,31;9,22;9,33;14,46;98,59;96,16;20;3799;1151,87;4231;358;1465
1100;1104;2017;8;Kab. Aceh Tenggara;1;4;0,71;0;43,19;7,37;81,38;1,95;73,88;24,17;20,07;27,10;1,28;0,07;33,04;20,91;19,61;9,63;9,40;9,63;14,86;99,24;97,98;20;4860;1151,87;4231;358;1465
1100;1104;2018;9;Kab. Aceh Tenggara;1;4;0,71;0;42,40;7,52;15,71;1,63;78,04;20,32;14,02;12,50;0,08;0,05;47,48;11,33;22,97;8,90;50,28;9,64;14,29;98,13;99,14;20;4075;1151,87;4231;358;1465
1100;1104;2019;10;Kab. Aceh Tenggara;0;4;0,00;0;41,86;7,65;16,14;1,41;76,68;21,91;22,26;17,00;0,86;0,24;39,61;12,36;25,53;10,28;51,02;9,65;13,43;99,33;99,60;20;3873;1151,87;4231;358;1465
1100;1104;2020;11;Kab. Aceh Tenggara;1;4;0,00;0;43,13;8,27;15,62;1,54;66,96;31,51;20,90;14,18;0,92;0,22;57,63;7,77;18,07;8,36;52,65;9,66;13,21;100,00;99,47;20;4428;1151,87;4231;358;1465
1100;1105;2010;1;Kab. Aceh Timur;1;3;0,37;2;65,33;6,71;166,42;19,67;70,76;9,57;17,46;17,32;3,26;1,39;40,31;11,31;22,68;13,29;8,06;7,04;18,42;98,21;87,49;25;2345;344,18;6286;275;1574
1100;1105;2011;2;Kab. Aceh Timur;0;3;0,37;1;64,54;7,04;167,37;16,86;74,41;8,74;18,02;15,39;3,03;1,29;40,31;11,31;22,68;13,29;8,23;7,09;18,01;95,30;93,23;24;2820;344,18;6286;275;1574
1100;1105;2012;3;Kab. Aceh Timur;1;3;0,37;0;63,45;7,20;168,11;13,78;77,31;8,91;14,76;13,82;3,65;1,42;40,22;12,88;23,11;14,10;8,41;7,13;17,19;97,54;94,80;24;2663;344,18;6286;275;1574
1100;1105;2013;4;Kab. Aceh Timur;1;3;0,37;4;61,84;7,65;166,51;12,20;77,35;10,45;17,14;15,30;2,48;0,56;40,31;11,31;22,68;13,29;8,58;7,28;16,59;97,85;94,48;24;2900;344,18;6286;275;1574
1100;1105;2014;5;Kab. Aceh Timur;0;4;0,37;3;59,76;8,12;162,01;8,11;81,30;10,59;20,57;27,79;2,32;4,21;40,31;11,31;22,68;13,29;8,77;7,38;15,88;98,46;94,02;24;2305;344,18;6286;275;1574
1100;1105;2015;6;Kab. Aceh Timur;1;4;0,37;2;54,71;9,35;124,47;8,11;81,30;10,59;20,57;27,79;2,22;3,37;46,17;14,61;29,08;16,12;10,74;7,40;15,85;97,85;98,05;24;2313;344,18;6286;275;1574
1100;1105;2016;7;Kab. Aceh Timur;1;4;0,37;1;51,48;10,13;120,54;5,96;74,54;19,50;12,11;21,45;4,27;2,81;37,97;19,45;20,44;9,30;10,96;7,60;15,06;98,16;96,93;25;2264;344,18;6286;275;1574
1100;1105;2017;8;Kab. Aceh Timur;1;4;0,37;0;50,75;10,42;123,29;6,26;74,58;19,16;13,41;20,71;3,68;2,26;39,47;16,87;22,74;11,92;11,18;7,80;15,25;98,35;99,40;24;3132;344,18;6286;275;1574
1100;1105;2018;9;Kab. Aceh Timur;1;4;0,37;0;49,97;10,73;18,42;4,78;76,48;18,74;16,61;8,78;1,18;0,09;43,79;6,69;25,19;16,13;77,98;7,85;14,49;98,42;99,32;24;2399;344,18;6286;275;1574
1100;1105;2019;10;Kab. Aceh Timur;0;4;0,00;0;49,36;10,95;18,95;4,35;74,05;21,60;15,78;19,77;0,74;0,06;38,19;14,43;23,30;16,62;79,13;7,86;14,47;98,60;99,13;25;2106;344,18;6286;275;1574
1100;1105;2020;11;Kab. Aceh Timur;1;4;0,00;0;50,03;11,26;19,64;3,85;77,85;18,30;14,97;13,08;0,23;0,02;41,90;7,98;24,65;18,13;77,53;8,15;14,08;100,00;99,58;24;2781;344,18;6286;275;1574
1100;1106;2010;1;Kab. Aceh Tengah;0;4;0,88;2;46,62;13,74;85,21;0,00;100,00;0,00;12,58;20,98;3,34;0,87;27,88;11,26;35,63;12,76;10,96;9,07;20,09;97,95;92,53;20;2675;1270,61;4318;205;1622
1100;1106;2011;2;Kab. Aceh Tengah;0;3;0,88;1;46,60;13,85;87,55;100,00;0,00;0,00;11,69;22,04;2,60;0,68;24,99;16,04;35,62;11,08;11,19;9,13;19,58;98,41;96,66;19;2886;1270,61;4318;205;1622
1100;1106;2012;3;Kab. Aceh Tengah;0;4;0,88;0;46,54;13,93;89,58;6,66;84,54;8,80;11,30;20,59;0,80;0,00;22,90;12,52;36,88;15,44;11,42;9,19;18,77;98,33;93,43;19;2898;1270,61;4318;205;1622
1100;1106;2013;4;Kab. Aceh Tengah;0;3;0,88;4;46,94;14,09;92,24;5,76;87,15;7,09;14,68;17,78;2,71;0,61;30,81;14,82;25,05;16,40;11,69;9,25;17,76;98,98;97,52;19;3131;1270,61;4318;205;1622
1100;1106;2014;5;Kab. Aceh Tengah;1;4;0,88;3;46,39;14,49;93,98;4,43;88,02;7,55;15,92;23,42;0,09;1,96;24,22;14,27;30,36;19,83;11,94;9,31;16,99;98,92;98,61;19;2722;1270,61;4318;205;1622
1100;1106;2015;6;Kab. Aceh Tengah;1;4;0,88;2;45,75;15,03;88,00;4,43;88,02;7,55;15,92;23,42;0,33;5,36;35,51;18,92;34,42;20,29;13,29;9,65;17,51;99,19;96,21;20;3381;1270,61;4318;205;1622
1100;1106;2016;7;Kab. Aceh Tengah;0;4;0,88;1;45,13;15,19;90,05;1,75;60,49;37,76;14,05;31,83;5,87;2,51;29,36;25,55;21,23;14,77;13,58;9,66;16,64;99,03;98,47;20;2622;1270,61;4318;205;1622
1100;1106;2017;8;Kab. Aceh Tengah;0;4;0,88;0;44,71;15,12;91,92;1,75;68,80;29,45;15,65;27,33;2,91;1,37;31,71;18,70;22,63;16,91;13,84;9,67;16,84;99,31;100,00;19;3344;1270,61;4318;205;1622
1100;1106;2018;9;Kab. Aceh Tengah;0;4;0,88;0;44,28;15,18;27,36;1,83;72,78;25,39;21,60;14,61;0,51;1,06;35,29;11,92;23,12;19,41;48,47;9,68;15,58;98,93;99,84;19;2895;1270,61;4318;205;1622
1100;1106;2019;10;Kab. Aceh Tengah;1;4;0,91;0;43,47;15,46;27,91;1,59;75,94;22,47;17,63;20,12;3,67;0,39;33,10;13,77;22,04;21,54;49,19;9,69;15,50;99,45;99,92;20;2688;1270,61;4318;205;1622
1100;1106;2020;11;Kab. Aceh Tengah;1;4;0,91;0;43,53;15,96;26,84;2,01;75,51;22,48;17,61;17,96;3,85;0,90;36,02;9,99;21,68;22,96;50,54;9,85;15,08;100,48;99,17;20;3368;1270,61;4318;205;1622
1100;1107;2010;1;Kab. Aceh Barat;0;3;0,82;2;44,32;11,18;87,49;9,88;81,33;8,79;11,61;17,91;0,85;2,13;26,46;14,01;35,91;11,83;18,10;7,64;24,42;94,54;94,06;24;3635;270,19;2928;155;1669
1100;1107;2011;2;Kab. Aceh Barat;1;3;0,82;1;43,16;11,65;87,74;7,33;83,93;8,74;11,28;14,27;0,82;2,06;24,50;9,95;41,35;10,88;18,48;7,71;23,81;93,77;95,23;24;3328;270,19;2928;155;1669
1100;1107;2012;3;Kab. Aceh Barat;0;3;0,82;0;41,26;12,30;86,43;6,93;85,56;7,51;10,80;9,68;1,08;1,86;25,96;6,11;41,58;12,08;18,86;7,77;22,76;94,95;98,44;24;3538;270,19;2928;155;1669
1100;1107;2013;4;Kab. Aceh Barat;0;3;0,82;4;41,08;12,57;87,86;5,51;83,17;11,32;13,45;18,01;2,42;0,39;28,49;12,10;27,45;16,51;19,28;7,83;23,70;96,64;96,51;24;3654;270,19;2928;155;1669
1100;1107;2014;5;Kab. Aceh Barat;1;4;0,82;3;40,67;12,93;88,73;3,91;85,04;11,05;21,81;25,22;0,06;0,85;14,21;18,42;32,80;16,23;19,73;8,17;22,97;97,82;96,20;24;3594;270,19;2928;155;1669
1100;1107;2015;6;Kab. Aceh Barat;1;4;0,82;2;41,37;12,90;84,17;3,91;85,04;11,05;21,81;25,22;0,60;0,23;34,75;15,59;37,43;19,44;21,75;8,47;21,46;96,32;97,68;24;4521;270,19;2928;155;1669
